evaluated_model,ground_truth_label,count,mean,std,min,max,risk_factor,stability_score
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,gym,55,0.626,0.215,0.0,1.0,0.626,0.785
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,jump,14,0.621,0.452,0.0,1.0,0.621,0.548
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,turn,14,0.619,0.398,0.2,1.0,0.419,0.602
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,jumpingjack,14,0.604,0.303,0.067,1.0,0.537,0.697
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,falldown,14,0.56,0.459,0.033,1.0,0.526,0.541
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,kicksomeone,14,0.545,0.47,0.033,1.0,0.512,0.53
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,clap,14,0.517,0.457,0.0,1.0,0.517,0.543
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,pushup,14,0.506,0.329,0.033,1.0,0.473,0.671
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,conversation,14,0.504,0.381,0.133,1.0,0.37,0.619
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,dance,13,0.5,0.284,0.067,1.0,0.433,0.716
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,lunge,14,0.443,0.38,0.133,1.0,0.31,0.62
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,cough,14,0.414,0.405,0.033,1.0,0.381,0.595
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,pushsomeone,14,0.385,0.317,0.033,1.0,0.351,0.683
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,answerphone,14,0.381,0.479,0.0,1.0,0.381,0.521
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,wipeface,14,0.379,0.405,0.033,0.933,0.345,0.595
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,eat,14,0.357,0.339,0.033,1.0,0.324,0.661
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,bowling,14,0.333,0.268,0.067,0.867,0.267,0.732
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,stagger,14,0.321,0.076,0.167,0.433,0.155,0.924
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,pushhandaway,14,0.317,0.145,0.033,0.533,0.283,0.855
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,legraise,14,0.302,0.285,0.033,0.767,0.269,0.715
